dutch,english
hotel,hotel
droom,dream
verliefd,in love
jammer,Shame
gedacht,thought
let,let
rug,back
vertaling,translation
slaan,to hit
gaten,holes
doel,goal
meter,meter
drugs,drugs
gevaarlijk,dangerous
geweldige,great
lijst,list
namen,names
deden,did
jonge,young
schelen,care
goedemorgen,Good morning
dragen,wear
iedere,every
excuseer,excuse me
stom,stupid
jong,young
zover,as far
betaald,paid
kende,knew
kleren,clothes
gesprek,conversation
lukt,succeeds
welk,which
vertelt,tells
prijs,price
voorstellen,to suggest
huwelijk,wedding
missen,miss
schrijven,to write
groep,group
herinneren,to remind
regels,lines
vonden,found
vliegtuig,aeroplane
onderweg,en route
delen,to share
geleerd,learned
stomme,stupid
bestaat,consists
james,James
vertrouw,trust
daarvoor,before that
trekken,Pull
zak,bag
vanuit,from
gebracht,brought
stem,voice
gezin,family
keuze,choice
raken,to touch
direct,directly
verdomde,damned
boot,boat
dom,stupid
verleden,past
gemist,missed
duurt,takes
gedachten,thoughts
situatie,situation
moe,tired
deal,deal
tafel,table
band,band
generaal,general
reis,travel
partner,partner
leuke,nice
raad,council
honger,hunger
geraakt,touched
gebouw,building
zwaar,heavy
gast,guest
gestuurd,sent
geboren,born
bracht,brought
rechter,right
agenten,agents
bureau,desk
macht,power
spreek,speak
derde,third
regel,rule
kolonel,colonel
ruzie,argument/fight
oma,grandma
zeiden,said
speelt,plays
dronken,drunk
vliegen,to fly
luitenant,lieutenant
gelooft,believes
arme,poor
seconden,seconds
liep,walked
tuurlijk,sure
rood,red
gefeliciteerd,Congratulations
koud,cold
regelen,to arrange
henry,Henry
bericht,message
vlucht,flight
moeite,effort
hel,hell
dame,lady
oog,eye
ma,mom
dansen,dancing
teken,sign
onmogelijk,impossible
gewerkt,worked
helaas,unfortunately
grapje,joke
arm,arm
show,show
lachen,laugh
leggen,to lay
sleutel,key
wet,law
liefje,Darling
keek,looked
aantal,number
zoekt,is looking for
extra,extra
zweer,ulcer
leiden,to lead
harry,Harry
mary,Mary
lijk,corpse
kapot,broken
bleef,stayed
sneller,faster
gebroken,broken
uiteindelijk,eventually
verdwenen,disappeared
kaart,card
kerk,church
mijne,mine
dode,dead
brand,fire
betrokken,involved
wegwezen,get out of here
plannen,plans
volg,follow
lastig,annoying
tijdje,while
negen,nine
gebied,area
beiden,both
eind,end
operatie,operation
diep,deep
persoonlijk,personal
liegen,lie
zwanger,pregnant
club,club
respect,respect
steek,lurch
waarvoor,for what
missie,mission
zon,Sun
kost,cost
paard,horse
waarop,on which
maat,mate
brief,letter
raak,touch
rijk,rich
rij,row
risico,risk
meestal,generally
witte,white
getuige,witness
kwalijk,bad
rechercheur,detective
schoenen,shoes
bar,bar
hoeven,hooves
midden,middle
hopelijk,hopefully
lijn,line
eer,honor
gezet,placed
zuster,sister
bal,ball
sprak,spoke
aanval,attack
aandacht,attention
kiezen,to elect
komaan,come on
rode,red
meiden,girls
amerikaanse,American
adres,address
zee,sea
hoog,high
feestje,party
gekocht,bought
bevel,command
wedstrijd,competition
sluiten,close
daarvan,of them
jimmy,Jimmy
volledig,complete
les,lesson
ziel,soul
interessant,interesting
slag,blow
sluit,close
zelfmoord,suicide
computer,computer
planeet,planet
bereiken,reaches
verdachte,suspect
sarah,Sarah
gelezen,read
uitleggen,explain
beloofd,promised
laatst,last
winkel,shop
zul,you will
wagen,car
angst,fear
muur,wall
leeg,empty
bezoek,visit
stelen,to steal
gewonnen,won
positie,position
wisten,knew
sheriff,sheriff
bekijken,to look at
helft,half
warm,warm
keus,choice
vanmorgen,this morning
park,park
zulke,such
nick,Nick
heerlijk,Delicious
gevallen,fallen
zaten,were sitting
rennen,run
gewond,injured
sergeant,sergeant
volk,people
dieren,animals
kort,short
spreekt,speaks
allen,all
verdient,deserves
onderzoeken,to research
haast,hast
dromen,dreams
systeem,system
meester,master
kont,butt
enig,any
ontdekt,discovers
verkocht,sold
tante,aunt
bewegen,move
geschreven,written
groter,bigger
neus,nose
verklaring,declaration
broek,pair of trousers
verdienen,earn
speel,play
hangt,hangs
vijand,enemy
gelukt,success
verschillende,various
speciale,special
verrassing,surprise
vreemde,stranger
sla,salad
geschiedenis,history
erachter,behind it
lul,dick
bezorgd,worried
hoogte,height
vrede,peace
meegenomen,brought
zagen,saws
liegt,lies
bus,bus
belachelijk,ridiculous
betere,better
raam,window
wijn,wine
mes,knife
ontslagen,dismissed
geheime,secret
gehouden,held
weggaan,to leave
weekend,weekend
excuses,apologies
getuigen,to give evidence
bom,bomb
inspecteur,inspector
gehaald,fetched
spoor,track
held,hero
benen,legs
dachten,thought
waarvan,of which
tas,bag
thee,tea
overleven,to survive
belt,belt
meenemen,take along
nek,neck
gevecht,fight
bestaan,exist
ongelooflijk,unbelievable
slachtoffers,victims
drink,drink
ring,ring
donker,dark
links,left
dichtbij,near
bereid,prepared
feit,fact
vriendje,boyfriend
professor,professor
verschil,difference
collega,co-worker
spul,stuff
boeken,books
slaat,hits
will,will
alweer,again
rekening,account
gooi,throw
beslissing,decision
verlies,loss
been,leg
verjaardag,birthday
lift,elevator
tommy,Tommy
bob,bob
koningin,queen
teveel,too many
levend,alive
waarmee,with which
raakt,touches
draagt,wears
verandert,changes
trein,train
da,that
monster,sample
raakte,hit
sporen,tracks
opa,grandpa
zingen,singing
voeten,feet
lot,lot
richting,direction
knap,handsome
duren,to last
speciaal,special
gebruikte,used
gestopt,stopped
hoge,high
gesloten,Closed
boord,board
bedoelde,referred to
gepakt,caught
you,you
draai,play
vannacht,tonight
ijs,ice
enorme,huge
beurt,turn
koop,buy
appartement,apartment
cel,cell
begraven,buried
indruk,impression
vlees,meat
strijd,conflict
ochtend,morning
keuken,kitchen
energie,energy
vernietigen,destroy
geregeld,organized
plaatsen,places
gevoelens,feelings
last,last
bedanken,thank you
ophouden,to hold up
hangen,hang
kennis,knowledge
bill,rekening
patiënt,patient
zware,heavy
basis,base
kat,cat
glas,glass
sloeg,hit
dankzij,thanks to
dader,perpetrator
gasten,guests
zwart,black
betaal,pay
adem,breath
richard,Richard
boodschap,errand
grap,joke
bos,forest
geholpen,helped
godsnaam,god's name
prachtige,beautiful
neergeschoten,shot
werkelijk,really
gestorven,died
huilen,to cry
commandant,commander
soldaten,soldiers
jurk,dress
gevangen,captured
veiligheid,safety
hoek,corner
hiermee,with this
afstand,distance
kilometer,kilometer
regering,government
stoel,chair
onschuldig,innocent
kogel,ball
londen,London
vlak,right
stuurde,sent
fijne,nice
waarin,in which
voet,foot
haalt,fetches
ontsnappen,escape
gooien,to throw
rechts,right
ineens,suddenly
ouwe,old
test,test
toestemming,permission
wraak,revenge
breken,break
rol,role
opschieten,hurry up
kalm,calm
goud,gold
verantwoordelijk,responsible
enorm,enormous
bespreken,discuss
noemt,calls
verdorie,damn
ervaring,experience
soldaat,soldier
gepraat,talked
steve,Steve
mark,Mark
totaal,total
and,and
gratis,free
overleden,dead
moorden,murders
eiland,island
beeld,image
passen,to fit
leeftijd,age
noemde,called
tekenen,to draw
doorgaan,continue
boom,tree
uitzoeken,to sort
dak,roof
besloten,decided
lunch,lunch
ryan,Ryan
vele,many
schoon,beautiful
controleren,check
gearresteerd,arrested
schoot,shot
eraf,off
achteruit,backwards
johnny,Johnny
belangrijke,important
lees,read
perfecte,perfect
dorp,village
eikel,acorn
bobby,Bobby
dossier,file
past,past
code,code
vieren,celebrate
geluid,sound
homo,homo
verschrikkelijk,terrible
stelt,stilt
slaapt,sleeps
bier,beer
dna,DNA
hoelang,how long
eenmaal,once
simpel,simple
zocht,searched
blauwe,blue
stukje,piece
vermist,missing
zorgt,takes care of
gat,hole
ouder,parent
kate,Kate
schrijf,write
schreef,wrote
wens,wish
geslagen,beaten
parijs,Paris
toevallig,chance
leiding,pipe
edelachtbare,Your Honor
bouwen,to build
geweten,known
heilige,saint
restaurant,restaurant
sterft,dies
toegang,access
verbergen,hide
draait,turns
leidt,leads
armen,arms
luke,Luke
taak,task
ware,true
lab,lab
misdaad,crime
nadenken,think it over
vakantie,vacation
behoorlijk,quite
sleutels,keys
video,video
levens,lives
geniet,enjoy
draaien,turn
vertrek,departure
betreffen,concern
slot,lock
verpest,ruined
proces,process
opdracht,Job
programma,program
klote,shit
leider,leader
actie,action
waardoor,as a result of which
antwoorden,answers
gezeten,seated
bruiloft,wedding
vorm,form
woon,live
directeur,director
cliënt,client
goedenavond,Good evening
advies,advice
hoewel,although
eddie,Eddie
chris,Chris
uren,hours
welterusten,Good night
tijden,times
volwassen,adult
vuile,dirty
majoor,major
radio,radio
aangenaam,nice to meet you
drankje,drink
maan,Moon
kregen,got
gemakkelijk,easy
vergeef,forgive
klas,class
krant,newspaper
langzaam,slowly
kosten,costs
martin,Martin
procent,percent
mist,fog
pad,path
vrijheid,freedom
verdwijnen,disappear
gelogen,lied
beweging,movement
twijfel,doubt
neef,cousin
gemeen,mean
fles,bottle
dol,crazy
draag,carry
vis,fish
waarover,about what
rood,red
hersenen,brain
der,of the
verloor,lost
taxi,Taxi
voorkomen,prevent
medicijnen,medicines
okay,Okay
binnenkort,soon
doos,box
terecht,justifiably
mening,opinion
geweer,rifle
bezit,possess
top,top
wonder,miracle
vergeven,forgive
stopt,stops
hopen,hope
thomas,Thomas
ophalen,to retrieve
wind,wind
oplossen,dissolve
jaloers,jealous
kevin,Kevin
rachel,Rachel
onmiddellijk,immediately
gedrag,behavior
charles,Charles
stemmen,to vote
ontbijt,breakfast
lol,lol
walter,Walter
honden,dogs
ontvangen,received
verhalen,stories
rivier,river
twaalf,twelve
voedsel,food
gauw,quickly
volgt,follows
vaker,more often
adam,Adam
keren,turn
klanten,customers
chef,chef
wint,wins
brian,Brian
minuut,minute
anna,Anna
detective,detective
verraden,betray
don,don
geweld,violence
akkoord,agree
tonen,to show
genoemd,named
gewone,ordinary
papieren,paper
verband,bandage
hoopte,hoped
rare,strange
brug,bridge
jas,coat
bloemen,flowers
daniel,Daniel
trap,stairs
mijnheer,sir
aanvallen,to attack
leer,learn
street,street
opnemen,to withdraw
robert,Robert
schade,injury
blijkt,turns out
bijzonder,special
huid,skin
krachten,forces
zakken,to fail
openen,open
arts,doctor
hoer,whore
gestoord,disturbed
scott,Scott
gegeten,eaten
echtgenoot,husband
bedoeling,intention
durf,dare
trouw,fidelity
bedenken,to think of
ergste,worst
bedacht,invented
tegenhouden,to prevent
vermoordde,murdered
nachts,at night
vertrokken,left
knul,boy
engels,English
start,start
favoriete,favourite
persoonlijke,personal
bepaalde,certain
sommigen,some
yeah,yeah
momentje,moment
medische,medical
sexy,sexy
burgemeester,mayor
lee,lee
officier,officer
kussen,to kiss
date,date
ster,star
gezocht,sought
captain,captain
wezen,being
roep,call
details,details
zomer,summer
dikke,thick
ruikt,smells
eigenaar,owner
motor,engine
universiteit,university
hielp,helped
kus,kiss
luistert,listens
gegevens,facts
claire,Claire
beveiliging,security
nagedacht,thought about
lisa,Lisa
gekozen,chosen
betaalt,pays
betekenen,mean
verborgen,hidden
publiek,audience
carrière,career
tanden,teeth
amy,Amy
rapport,report
super,super
vrije,free
geheimen,secrets
opeens,suddenly
beest,beast
afgesproken,agreed to meet
halve,half
rijdt,drives
belangrijkste,most important
kamp,camp
leef,live
washington,Washington
steun,support
afdeling,department
honderd,one hundred
vorig,last
rook,smoke
boel,bunch
vecht,fight
strand,beach
jason,Jason
magie,magic
oplossing,solution
type,type
rusten,rest
droeg,wore
wellicht,perhaps
beelden,images
genaamd,named
terugkomen,come back
voeren,to feed
waardeer,appreciate
nauwelijks,hardly
bad,bath
bieden,offer
geïnteresseerd,interested
verlaat,leave
duivel,devil
overkomen,happen
speelde,played
pond,pound
ballen,balls
duizenden,thousands
gedoe,hassle
stad,city
nerveus,nervous
locatie,location
blik,look
doelwit,target
gekke,crazy
meegemaakt,experienced
twintig,twenty
klant,customer
kerels,guys
loog,lye
post,post
aangevallen,attacked
oren,ears
emma,Emma
springen,jump
gevolgd,followed
releases,releases
lach,smile
ontmoette,met
zwak,weak
engeland,England
ziekte,disease
sterren,stars
trekt,pulls
toilet,toilet
steen,stone
logisch,logically
landen,to land
geloofde,believed
fouten,mistakes
verwachten,to expect
dankbaar,satisfying
veroorzaakt,causes
duizend,thousand
wow,wow
aangedaan,affected
jury,jury
verslaan,beat
vangen,catch
christus,Christ
testen,testing
grens,border
paniek,panic
nogmaals,once more
telefoontje,phone call
steken,stiches
jesse,Jesse
pete,Pete
ontsnapt,escaped
herinnert,remembers
paarden,horses
vaders,fathers
theorie,theory
kleur,colour
prins,prince
vissen,fish
bron,source
lid,member
drank,drink
vergadering,meeting
gebleven,stayed
meerdere,multiple
ondanks,Despite
machine,machine
moeders,mothers
signaal,signal
geslapen,slept
lijden,suffering
stappen,steps
carter,crankcase
eeuwig,eternal
vreselijke,terrible
doodde,killed
dik,thick
verkoop,sale
rechtbank,court
harde,hard
genezen,cured
begrafenis,funeral
veld,field
straf,punishment
uitgenodigd,invited
laag,low
grace,Grace
kies,choose
wiens,whose
william,William
schattig,cute
wereld,world
schot,shot
vijanden,enemies
neuken,to fuck
broers,brothers
jagen,hunting
tevreden,satisfied
gaven,gave
taart,cake
domme,stupid
flat,flat
manieren,ways
afmaken,kill
vriendelijk,friendly
san,san
sterker,stronger
vluchten,to flee
pers,press
project,project
vertrekt,leaves
belang,interest
frankrijk,France
lukken,succeed
geschoten,shot
prinses,princess
zwaard,sword
aandoen,to affect
makkelijker,easier
gedragen,to behave
bende,gang
ernstig,serious
gezond,healthy
jouwe,yours
vingers,fingers
las,weld
arresteren,arrest
tuin,garden
ideeën,ideas
korte,short
gelaten,left
sean,Sean
duitse,German
vrijdag,Friday
opstaan,to get up
kunst,art
sterke,strong
afscheid,parting
menselijke,human
minister,minister
coach,coach
verboden,forbidden
kelder,basement
gezelschap,company
bijvoorbeeld,for example
achtergelaten,left behind
duur,duration
compleet,completely
to,to
eng,scary
toeval,chance
snapt,understands
hiervan,of this
miljoenen,millions
simon,Simon
oorlog,war
melk,milk
lui,lazy
genieten,enjoy
aannemen,contract
uitstekend,excellent
tegenover,opposite
dichterbij,closer
kocht,bought
stuurt,sends
volle,full
schijnt,appears
lenen,to borrow
moed,courage
vergissing,mistake
patiënten,patients
toon,show
normale,normal
broeder,brother
kaarten,cards
films,movies
reizen,to travel
ruim,roomy
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,smoking
truck,truck
gaaf,great
tegenwoordig,nowadays
kwestie,issue
zette,put
opzij,aside
gaande,going on
omgeving,environment
kip,chicken
verstopt,hidden
leerde,learned
vanochtend,this morning
kast,cupboard
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,considerable
majesteit,majesty
cia,cia
carl,Carl
sukkel,loser
stopte,stopped
haalde,took
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,Alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,Taylor
bedoeld,meant
opgesloten,locked up
ontslag,dismissal
bekijk,look at
borst,chest
schreeuwen,scream
bevalt,pleases
hoger,higher
blanke,white
redenen,reasons
harder,harder
ed,ed
ontvoerd,kidnapped
vasthouden,to cling
dave,Dave
lucy,Lucy
behandelen,to deal with
berg,mountain
noorden,north
opgeven,to report
bepaald,certain
spelletje,game
maatje,buddy
daardoor,because of that
omstandigheden,circumstances
opgelost,dissolved
heus,real
koken,to cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,break
raden,councils
roepen,to call
leugenaar,liar
bek,beak
vervangen,replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reaches
amerikanen,Americans
kanker,cancer
ted,ted
aangezien,since
beslissen,to decide
des,of the
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
invloed,influence
geheugen,memory
station,station
doorheen,through
vogel,bird
verantwoordelijkheid,responsibility
pillen,pills
diner,dinner
besluit,decision
vlug,fly
deuren,doors
woonde,lived
west,west
huh,huh
verstand,mind
moeilijke,difficult
juffrouw,Miss
bescherming,protection
quality,quality
stilte,Silence
bak,bake
papier,paper
erom,about it
volledige,sufficient
zojuist,just now
kilo,kilo
chuck,chuck
vormen,forms
vaarwel,goodbye
storm,storm
hoed,hat
leugen,lie
ambulance,ambulance
opgenomen,included
beslist,specifically
pizza,pizza
verdween,disappeared
ontdekken,discover
eenheid,unit
verzoek,request
overtuigen,convince
militaire,military
